config,B,H,S,D,dtype,causal,median_ms,p95_ms,tokens_per_s,tflops_per_s,baseline_torch_median_ms,baseline_torch_tokens_per_s,ratio_to_torch_tokens,speedup_vs_baseline_tokens
async_default,1,8,1024,64,float16,False,0.06203199923038483,0.0656095951795578,132060873.44654456,34.61896560877098,0.045823998749256134,178770954.60013694,0.7387154906787269,1.0
async_default,1,8,2048,64,float16,False,0.1788640022277832,0.18141920045018195,91600320.89148371,48.02494903955421,0.11552000045776367,141828254.28563172,0.64585382759494,1.0
async_default,1,8,4096,128,float16,False,0.8812000155448914,0.8867743641138077,37185655.26776331,77.98397131610037,0.8704320192337036,37645673.959521554,0.9877803039931525,1.0
async_tm64_tn64,1,8,1024,64,float16,False,0.06196799874305725,0.06454560458660126,132197265.78499217,34.65472004194099,0.045823998749256134,178770954.60013694,0.739478435301094,1.0010327990031265
async_tm64_tn64,1,8,2048,64,float16,False,0.17851199954748154,0.18097119703888892,91780944.93105547,48.11964805601321,0.11552000045776367,141828254.28563172,0.6471273681914985,1.0019718712534396
async_tm64_tn64,1,8,4096,128,float16,False,0.9610719978809357,0.9717088252305984,34095260.36784971,71.50294347095675,0.8704320192337036,37645673.959521554,0.9056886696864712,0.9168928212327967
async_tm32_tn64_occ2,1,8,1024,64,float16,False,0.08033600077033043,0.0851056020706892,101971717.80332707,26.731273991835373,0.045823998749256134,178770954.60013694,0.5704042808934521,0.7721569238643803
async_tm32_tn64_occ2,1,8,2048,64,float16,False,0.2523360103368759,0.25447679311037064,64929297.95524184,34.04165176635783,0.11552000045776367,141828254.28563172,0.45780227841258614,0.7088326473458726
async_tm32_tn64_occ2,1,8,4096,128,float16,False,1.2312480211257935,1.2341887831687928,26613646.834565897,55.81286268640354,0.8704320192337036,37645673.959521554,0.7069509995539507,0.7156965943702916
async_tm32_tn64_opt2,1,8,1024,64,float16,False,0.12331200018525124,0.1248720046132803,66433112.65483638,17.415041883789428,0.045823998749256134,178770954.60013694,0.3716102137700701,0.5030491690767674
async_tm32_tn64_opt2,1,8,2048,64,float16,False,0.3978720009326935,0.40011360198259355,41179072.570054054,21.5896935996085,0.11552000045776367,141828254.28563172,0.2903446339198565,0.4495516191350217
async_tm32_tn64_opt2,1,8,4096,128,float16,False,1.8247039914131165,1.8930736184120178,17957981.214598693,37.660616220158076,0.8704320192337036,37645673.959521554,0.477026423644533,0.4829276527544933
async_tm32_tn128,1,8,1024,64,float16,False,0.0907679982483387,0.09238720051944256,90252072.95622978,23.6590394130379,0.045823998749256134,178770954.60013694,0.5048475193193416,0.6834126611525245
async_tm32_tn128,1,8,2048,64,float16,False,0.2749280035495758,0.27515838891267774,59593783.78509045,31.2443057131175,0.11552000045776367,141828254.28563172,0.4201827349935009,0.6505848801085479
async_tm32_tn128,1,8,4096,128,float16,False,1.261359989643097,1.270499235391617,25978309.33996229,54.48046338892059,0.8704320192337036,37645673.959521554,0.6900742265338488,0.6986110410829091
async_tm64_tn64_fp16acc,1,8,1024,64,float16,False,0.06393600255250931,0.06736800111830235,128128123.01288435,33.58801867908956,0.045823998749256134,178770954.60013694,0.7167166685408872,0.9702201694489617
async_tm64_tn64_fp16acc,1,8,2048,64,float16,False,0.1868480071425438,0.1895775929093361,87686244.29320711,45.97284564799697,0.11552000045776367,141828254.28563172,0.6182565295953896,0.9572700558231286
async_tm64_tn64_fp16acc,1,8,4096,128,float16,False,0.8951840102672577,0.8997584164142609,36604764.63405227,76.76575536183198,0.8704320192337036,37645673.959521554,0.9723498289182305,0.9843786366132797
async_tm32_tn64_occ2_fp16acc,1,8,1024,64,float16,False,0.0804160013794899,0.08246560208499432,101870272.82469891,26.70468079935787,0.045823998749256134,178770954.60013694,0.5698368230597393,0.7713887555494159
async_tm32_tn64_occ2_fp16acc,1,8,2048,64,float16,False,0.24951999634504318,0.2503903940320015,65662072.138474025,34.42583647733627,0.11552000045776367,141828254.28563172,0.46296890890467723,0.7168323374790576
async_tm32_tn64_occ2_fp16acc,1,8,4096,128,float16,False,1.221664011478424,1.2269680142402648,26822432.10254272,56.25071712871167,0.8704320192337036,37645673.959521554,0.7124970622489982,0.721311266653822
